date,open,high,low,close,adjusted_close,volume
2022-05-16,1811.05,1827.235,1786.95,1823.7904,1823.7904,240
2022-05-17,1824.1801,1836.545,1812.6751,1814.6685,1814.6685,149
2022-05-18,1815.2,1825.02,1807.295,1815.61,1815.61,117
2022-05-19,1816.605,1849.46,1810.5501,1841.7188,1841.7188,230
2022-05-20,1842.12,1849.595,1832.35,1845.6801,1845.6801,113
2022-05-23,1846.53,1865.645,1844.0763,1853.2185,1853.2185,135
2022-05-24,1853.595,1869.99,1849.0601,1865.9,1865.9,131
2022-05-25,1865.09,1868.395,1842.945,1852.8307,1852.8307,156
2022-05-26,1853.48,1854.71,1841.135,1850.0236,1850.0236,93
2022-05-27,1850.48,1862.295,1847.76,1852.73,1852.73,98
2022-05-30,1852.195,1864.345,1847.915,1856.2129,1856.2129,108
2022-05-31,1856.395,1857.695,1834.895,1837.0925,1837.0925,142
2022-06-01,1837.37,1850.395,1828.28,1845.5501,1845.5501,139
2022-06-02,1846.445,1870.695,1843.755,1868.1277,1868.1277,164
2022-06-03,1868.53,1874.3001,1847.02,1850.7656,1850.7656,165
2022-06-06,1850.2925,1858.145,1840.5024,1840.9982,1840.9982,114
2022-06-07,1841.6,1855.86,1836.73,1851.9741,1851.9741,123
2022-06-08,1852.51,1859.895,1844.35,1853.255,1853.255,103
2022-06-09,1853.53,1855.52,1839.6,1847.6095,1847.6095,105
2022-06-10,1848.0851,1876.475,1825.015,1870.96,1870.96,294
2022-06-13,1875.795,1877.3768,1818.7742,1818.7742,1818.7742,332
2022-06-14,1819.1,1832.195,1804.65,1808.1,1808.1,170
2022-06-15,1808.355,1841.745,1807.2391,1833.3793,1833.3793,207
2022-06-16,1833.99,1857.9137,1815.95,1856.7075,1856.7075,245
2022-06-17,1857.34,1858.2926,1833.725,1839.35,1839.35,152
2022-06-20,1840.4,1846.42,1834.495,1838.2876,1838.2876,84
2022-06-21,1838.3742,1844.145,1828.285,1832.5585,1832.5585,106
2022-06-22,1832.96,1848.445,1823.235,1837.3864,1837.3864,156
2022-06-23,1837.87,1846.195,1821.875,1822.4293,1822.4293,151
2022-06-24,1822.88,1832.145,1816.7,1826.1801,1826.1801,104
2022-06-27,1838.145,1841.345,1820.4,1822.73,1822.73,133
2022-06-28,1822.85,1830.095,1818.2,1819.695,1819.695,84
2022-06-29,1819.955,1833.245,1812.1,1817.109,1817.109,135
2022-06-30,1817.8001,1825.895,1802.2,1806.887,1806.887,149
2022-07-01,1807.3101,1812.095,1784.1,1810.1801,1810.1801,174
2022-07-04,1812.2658,1814.3566,1803.45,1809.1166,1809.1166,80
2022-07-05,1808.7355,1812.415,1763.485,1764.3528,1764.3528,289
2022-07-06,1764.87,1773.0601,1731.75,1738.3035,1738.3035,252
2022-07-07,1738.9301,1749.1395,1735.95,1739.6115,1739.6115,95
2022-07-08,1740.05,1752.4962,1733.245,1741.82,1741.82,129
2022-07-11,1742.86,1744.915,1731.01,1733.6726,1733.6726,99
2022-07-12,1733.995,1743.495,1722.9301,1725.806,1725.806,137
2022-07-13,1726.165,1745.535,1707.375,1735.2315,1735.2315,238
2022-07-14,1735.6956,1736.9367,1697.485,1709.4491,1709.4491,247
2022-07-15,1709.8149,1716.92,1698.82,1706.78,1706.78,125
2022-07-18,1707.945,1724.045,1705.8938,1709.0118,1709.0118,125
2022-07-19,1709.27,1718.64,1704.96,1711.0656,1711.0656,99
2022-07-20,1711.295,1714.945,1692.5332,1696.433,1696.433,150
2022-07-21,1696.73,1720.695,1680.775,1718.4924,1718.4924,251
2022-07-22,1718.6101,1739.2841,1712.9291,1726.46,1726.46,171
2022-07-25,1728.145,1736.4251,1714.575,1718.78,1718.78,145
2022-07-26,1719.6899,1728.3608,1713.2,1717.0005,1717.0005,107
2022-07-27,1717.41,1740.6,1711.4645,1733.8922,1733.8922,187
2022-07-28,1734.61,1757.4251,1733.595,1755.1082,1755.1082,155
2022-07-29,1755.8101,1768.17,1752.1851,1765.22,1765.22,110
2022-08-01,1765.045,1775.225,1758.048,1771.7293,1771.7293,116
2022-08-02,1772.23,1788.245,1759.7466,1759.7466,1759.7466,179
2022-08-03,1760.5349,1772.895,1754.335,1764.896,1764.896,124
2022-08-04,1765.3405,1795.285,1763.0,1790.967,1790.967,199
2022-08-05,1791.16,1795.285,1764.88,1774.15,1774.15,189
2022-08-08,1773.575,1790.255,1770.9351,1788.5239,1788.5239,127
2022-08-09,1789.21,1800.45,1782.85,1794.0846,1794.0846,117
2022-08-10,1794.215,1807.895,1787.325,1792.1278,1792.1278,133
2022-08-11,1792.39,1799.395,1783.245,1789.4504,1789.4504,109
2022-08-12,1790.0601,1802.865,1784.515,1801.7612,1801.7612,121
2022-08-15,1802.045,1802.5325,1772.75,1779.359,1779.359,185
2022-08-16,1779.745,1783.37,1771.33,1775.5418,1775.5418,87
2022-08-17,1775.9799,1782.63,1759.585,1761.05,1761.05,149
2022-08-18,1761.625,1772.595,1755.3683,1758.1956,1758.1956,117
2022-08-19,1759.295,1759.88,1745.195,1747.829,1747.829,103
2022-08-22,1747.045,1749.3075,1727.505,1735.705,1735.705,144
2022-08-23,1736.4,1754.2821,1730.515,1747.6746,1747.6746,155
2022-08-24,1748.545,1755.8844,1742.285,1750.8882,1750.8882,97
2022-08-25,1751.545,1765.9251,1749.71,1758.4374,1758.4374,111
2022-08-26,1758.545,1759.3149,1733.83,1736.86,1736.86,164
2022-08-29,1736.195,1745.63,1720.08,1737.8237,1737.8237,166
2022-08-30,1738.365,1740.9251,1720.855,1723.5498,1723.5498,135
2022-08-31,1723.8301,1726.86,1709.105,1710.705,1710.705,122
2022-09-01,1711.095,1711.8101,1688.35,1696.09,1696.09,157
2022-09-02,1696.35,1718.3101,1694.64,1711.4399,1711.4399,157
2022-09-05,1712.995,1716.345,1707.475,1710.2063,1710.2063,71
2022-09-06,1710.5649,1727.245,1699.3001,1701.1531,1701.1531,181
